x;type
765317243.Buccal mucosa;Buccal mucosa
765337473.Buccal mucosa;Buccal mucosa
765377934.Buccal mucosa;Buccal mucosa
765560005.Buccal mucosa;Buccal mucosa
809635352.Buccal mucosa;Buccal mucosa
863126187.Buccal mucosa;Buccal mucosa
892969023.Buccal mucosa;Buccal mucosa
937495960.Buccal mucosa;Buccal mucosa
953045535.Buccal mucosa;Buccal mucosa
970836795.Buccal mucosa;Buccal mucosa
147406386.Hard palate;Hard palate
158013734.Hard palate;Hard palate
158114885.Hard palate;Hard palate
158155345.Hard palate;Hard palate
158216035.Hard palate;Hard palate
158236265.Hard palate;Hard palate
158276726.Hard palate;Hard palate
158398106.Hard palate;Hard palate
158418336.Hard palate;Hard palate
158438567.Hard palate;Hard palate
158458797.Hard palate;Hard palate
158479027.Hard palate;Hard palate
158499257.Hard palate;Hard palate
158721788.Hard palate;Hard palate
158742018.Hard palate;Hard palate
158802708.Hard palate;Hard palate
158822939.Hard palate;Hard palate
158883629.Hard palate;Hard palate
158924089.Hard palate;Hard palate
158944319.Hard palate;Hard palate
158964549.Hard palate;Hard palate
159005010.Hard palate;Hard palate
159025240.Hard palate;Hard palate
159085930.Hard palate;Hard palate
159146620.Hard palate;Hard palate
159166850.Hard palate;Hard palate
159227541.Hard palate;Hard palate
159247771.Hard palate;Hard palate
159389382.Hard palate;Hard palate
159470302.Hard palate;Hard palate
159713063.Hard palate;Hard palate
159733294.Hard palate;Hard palate
160744799.Hard palate;Hard palate
160825720.Hard palate;Hard palate
160866180.Hard palate;Hard palate
160886410.Hard palate;Hard palate
160906640.Hard palate;Hard palate
160947100.Hard palate;Hard palate
160967330.Hard palate;Hard palate
160987560.Hard palate;Hard palate
161007791.Hard palate;Hard palate
161270782.Hard palate;Hard palate
161311242.Hard palate;Hard palate
161473083.Hard palate;Hard palate
161554003.Hard palate;Hard palate
208027353.Hard palate;Hard palate
246515023.Hard palate;Hard palate
289996019.Hard palate;Hard palate
295137534.Hard palate;Hard palate
336497421.Hard palate;Hard palate
368533040.Hard palate;Hard palate
370027359.Hard palate;Hard palate
370425937.Hard palate;Hard palate
375450439.Hard palate;Hard palate
404239096.Hard palate;Hard palate
414519462.Hard palate;Hard palate
465578759.Hard palate;Hard palate
492786515.Hard palate;Hard palate
508703490.Hard palate;Hard palate
517810313.Hard palate;Hard palate
553359145.Hard palate;Hard palate
604812005.Hard palate;Hard palate
612472597.Hard palate;Hard palate
638754422.Hard palate;Hard palate
643185023.Hard palate;Hard palate
650853796.Hard palate;Hard palate
663835652.Hard palate;Hard palate
668248235.Hard palate;Hard palate
682449369.Hard palate;Hard palate
686765762.Hard palate;Hard palate
737052003.Hard palate;Hard palate
763395383.Hard palate;Hard palate
763435843.Hard palate;Hard palate
763456073.Hard palate;Hard palate
763476303.Hard palate;Hard palate
763516763.Hard palate;Hard palate
763536994.Hard palate;Hard palate
763557224.Hard palate;Hard palate
763597684.Hard palate;Hard palate
763638144.Hard palate;Hard palate
763698834.Hard palate;Hard palate
763719065.Hard palate;Hard palate
